timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 06:27:49.614, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 06:27:49.627, [N/A], [N/A], 237 MiB, 81920 MiB, 113.69 W
2026/08/03 06:27:49.631, [N/A], [N/A], 203 MiB, 81920 MiB, 117.95 W
2026/08/03 06:27:49.634, [N/A], [N/A], 203 MiB, 81920 MiB, 102.90 W
2026/08/03 06:27:49.638, [N/A], [N/A], 203 MiB, 81920 MiB, 112.03 W
2026/08/03 06:27:49.642, 0 %, 0 %, 0 MiB, 81920 MiB, 48.06 W
2026/08/03 06:28:19.645, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 06:28:19.651, [N/A], [N/A], 237 MiB, 81920 MiB, 113.36 W
2026/08/03 06:28:19.653, [N/A], [N/A], 203 MiB, 81920 MiB, 117.56 W
2026/08/03 06:28:19.655, [N/A], [N/A], 203 MiB, 81920 MiB, 102.81 W
2026/08/03 06:28:19.657, [N/A], [N/A], 203 MiB, 81920 MiB, 111.65 W
2026/08/03 06:28:19.659, 0 %, 0 %, 4 MiB, 81920 MiB, 47.97 W
2026/08/03 06:28:49.660, [N/A], [N/A], 237 MiB, 81920 MiB, 110.79 W
2026/08/03 06:28:49.694, [N/A], [N/A], 237 MiB, 81920 MiB, 113.07 W
2026/08/03 06:28:49.696, [N/A], [N/A], 203 MiB, 81920 MiB, 115.79 W
2026/08/03 06:28:49.711, [N/A], [N/A], 203 MiB, 81920 MiB, 102.62 W
2026/08/03 06:28:49.713, [N/A], [N/A], 203 MiB, 81920 MiB, 111.46 W
2026/08/03 06:28:49.715, 0 %, 0 %, 4 MiB, 81920 MiB, 47.97 W
2026/08/03 06:29:19.716, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 06:29:19.750, [N/A], [N/A], 237 MiB, 81920 MiB, 113.46 W
2026/08/03 06:29:19.752, [N/A], [N/A], 203 MiB, 81920 MiB, 115.98 W
2026/08/03 06:29:19.764, [N/A], [N/A], 203 MiB, 81920 MiB, 102.90 W
2026/08/03 06:29:19.766, [N/A], [N/A], 203 MiB, 81920 MiB, 111.75 W
2026/08/03 06:29:19.768, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
2026/08/03 06:29:49.769, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 06:29:49.804, [N/A], [N/A], 237 MiB, 81920 MiB, 113.86 W
2026/08/03 06:29:49.806, [N/A], [N/A], 203 MiB, 81920 MiB, 118.15 W
2026/08/03 06:29:49.819, [N/A], [N/A], 203 MiB, 81920 MiB, 103.00 W
2026/08/03 06:29:49.821, [N/A], [N/A], 203 MiB, 81920 MiB, 112.23 W
2026/08/03 06:29:49.823, 0 %, 0 %, 4 MiB, 81920 MiB, 47.97 W
2026/08/03 06:30:19.824, [N/A], [N/A], 237 MiB, 81920 MiB, 111.49 W
2026/08/03 06:30:19.826, [N/A], [N/A], 237 MiB, 81920 MiB, 113.75 W
2026/08/03 06:30:19.860, [N/A], [N/A], 203 MiB, 81920 MiB, 118.14 W
2026/08/03 06:30:19.862, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 06:30:19.872, [N/A], [N/A], 203 MiB, 81920 MiB, 112.04 W
2026/08/03 06:30:19.874, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
2026/08/03 06:30:49.875, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 06:30:49.909, [N/A], [N/A], 237 MiB, 81920 MiB, 113.75 W
2026/08/03 06:30:49.911, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 06:30:49.924, [N/A], [N/A], 203 MiB, 81920 MiB, 103.00 W
2026/08/03 06:30:49.926, [N/A], [N/A], 203 MiB, 81920 MiB, 112.04 W
2026/08/03 06:30:49.930, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
2026/08/03 06:31:19.931, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 06:31:19.965, [N/A], [N/A], 237 MiB, 81920 MiB, 113.86 W
2026/08/03 06:31:19.967, [N/A], [N/A], 203 MiB, 81920 MiB, 118.25 W
2026/08/03 06:31:19.979, [N/A], [N/A], 203 MiB, 81920 MiB, 103.00 W
2026/08/03 06:31:19.981, [N/A], [N/A], 203 MiB, 81920 MiB, 112.23 W
2026/08/03 06:31:19.983, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
2026/08/03 06:31:49.984, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 06:31:50.003, [N/A], [N/A], 237 MiB, 81920 MiB, 113.77 W
2026/08/03 06:31:50.020, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 06:31:50.034, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 06:31:50.036, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 06:31:50.038, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
2026/08/03 06:32:20.039, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 06:32:20.073, [N/A], [N/A], 237 MiB, 81920 MiB, 113.75 W
2026/08/03 06:32:20.075, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 06:32:20.088, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 06:32:20.090, [N/A], [N/A], 203 MiB, 81920 MiB, 112.13 W
2026/08/03 06:32:20.092, 0 %, 0 %, 4 MiB, 81920 MiB, 48.16 W
2026/08/03 06:32:50.093, [N/A], [N/A], 237 MiB, 81920 MiB, 107.86 W
2026/08/03 06:32:50.127, [N/A], [N/A], 237 MiB, 81920 MiB, 110.16 W
2026/08/03 06:32:50.129, [N/A], [N/A], 203 MiB, 81920 MiB, 112.00 W
2026/08/03 06:32:50.143, [N/A], [N/A], 203 MiB, 81920 MiB, 100.47 W
2026/08/03 06:32:50.145, [N/A], [N/A], 203 MiB, 81920 MiB, 108.37 W
2026/08/03 06:32:50.147, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 06:33:20.148, [N/A], [N/A], 237 MiB, 81920 MiB, 101.48 W
2026/08/03 06:33:20.182, [N/A], [N/A], 237 MiB, 81920 MiB, 103.27 W
2026/08/03 06:33:20.184, [N/A], [N/A], 203 MiB, 81920 MiB, 104.88 W
2026/08/03 06:33:20.202, [N/A], [N/A], 203 MiB, 81920 MiB, 96.56 W
2026/08/03 06:33:20.206, [N/A], [N/A], 203 MiB, 81920 MiB, 102.92 W
2026/08/03 06:33:20.208, 0 %, 0 %, 4 MiB, 81920 MiB, 46.58 W
2026/08/03 06:33:50.209, [N/A], [N/A], 237 MiB, 81920 MiB, 98.22 W
2026/08/03 06:33:50.243, [N/A], [N/A], 237 MiB, 81920 MiB, 100.22 W
2026/08/03 06:33:50.245, [N/A], [N/A], 203 MiB, 81920 MiB, 97.96 W
2026/08/03 06:33:50.258, [N/A], [N/A], 203 MiB, 81920 MiB, 94.38 W
2026/08/03 06:33:50.260, [N/A], [N/A], 203 MiB, 81920 MiB, 98.15 W
2026/08/03 06:33:50.262, 85 %, 55 %, 8817 MiB, 81920 MiB, 247.98 W
2026/08/03 06:34:20.263, [N/A], [N/A], 237 MiB, 81920 MiB, 97.82 W
2026/08/03 06:34:20.281, [N/A], [N/A], 237 MiB, 81920 MiB, 99.53 W
2026/08/03 06:34:20.300, [N/A], [N/A], 203 MiB, 81920 MiB, 97.24 W
2026/08/03 06:34:20.311, [N/A], [N/A], 203 MiB, 81920 MiB, 93.99 W
2026/08/03 06:34:20.313, [N/A], [N/A], 203 MiB, 81920 MiB, 97.85 W
2026/08/03 06:34:20.315, 92 %, 67 %, 8817 MiB, 81920 MiB, 307.11 W
