timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 07:46:24.636, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:46:24.642, [N/A], [N/A], 237 MiB, 81920 MiB, 115.44 W
2026/08/03 07:46:24.646, [N/A], [N/A], 203 MiB, 81920 MiB, 116.67 W
2026/08/03 07:46:24.650, [N/A], [N/A], 203 MiB, 81920 MiB, 103.01 W
2026/08/03 07:46:24.654, [N/A], [N/A], 203 MiB, 81920 MiB, 111.94 W
2026/08/03 07:46:24.658, 0 %, 0 %, 0 MiB, 81920 MiB, 47.47 W
2026/08/03 07:46:54.661, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 07:46:54.663, [N/A], [N/A], 237 MiB, 81920 MiB, 115.15 W
2026/08/03 07:46:54.697, [N/A], [N/A], 203 MiB, 81920 MiB, 116.32 W
2026/08/03 07:46:54.699, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 07:46:54.721, [N/A], [N/A], 203 MiB, 81920 MiB, 111.55 W
2026/08/03 07:46:54.723, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 07:47:24.724, [N/A], [N/A], 237 MiB, 81920 MiB, 110.99 W
2026/08/03 07:47:24.757, [N/A], [N/A], 237 MiB, 81920 MiB, 113.66 W
2026/08/03 07:47:24.760, [N/A], [N/A], 203 MiB, 81920 MiB, 117.46 W
2026/08/03 07:47:24.775, [N/A], [N/A], 203 MiB, 81920 MiB, 102.62 W
2026/08/03 07:47:24.777, [N/A], [N/A], 203 MiB, 81920 MiB, 111.45 W
2026/08/03 07:47:24.779, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 07:47:54.780, [N/A], [N/A], 237 MiB, 81920 MiB, 111.09 W
2026/08/03 07:47:54.814, [N/A], [N/A], 237 MiB, 81920 MiB, 113.56 W
2026/08/03 07:47:54.846, [N/A], [N/A], 203 MiB, 81920 MiB, 116.09 W
2026/08/03 07:47:54.848, [N/A], [N/A], 203 MiB, 81920 MiB, 102.71 W
2026/08/03 07:47:54.850, [N/A], [N/A], 203 MiB, 81920 MiB, 111.45 W
2026/08/03 07:47:54.852, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 07:48:24.853, [N/A], [N/A], 237 MiB, 81920 MiB, 111.29 W
2026/08/03 07:48:24.887, [N/A], [N/A], 237 MiB, 81920 MiB, 115.14 W
2026/08/03 07:48:24.903, [N/A], [N/A], 203 MiB, 81920 MiB, 116.48 W
2026/08/03 07:48:24.905, [N/A], [N/A], 203 MiB, 81920 MiB, 102.91 W
2026/08/03 07:48:24.907, [N/A], [N/A], 203 MiB, 81920 MiB, 111.65 W
2026/08/03 07:48:24.910, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 07:48:54.911, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:48:54.913, [N/A], [N/A], 237 MiB, 81920 MiB, 114.06 W
2026/08/03 07:48:54.915, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 07:48:54.917, [N/A], [N/A], 203 MiB, 81920 MiB, 103.00 W
2026/08/03 07:48:54.919, [N/A], [N/A], 203 MiB, 81920 MiB, 111.75 W
2026/08/03 07:48:54.922, 0 %, 0 %, 4 MiB, 81920 MiB, 47.47 W
2026/08/03 07:49:24.922, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 07:49:24.925, [N/A], [N/A], 237 MiB, 81920 MiB, 114.15 W
2026/08/03 07:49:24.927, [N/A], [N/A], 203 MiB, 81920 MiB, 118.04 W
2026/08/03 07:49:24.929, [N/A], [N/A], 203 MiB, 81920 MiB, 103.20 W
2026/08/03 07:49:24.931, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:49:24.933, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 07:49:54.934, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:49:54.973, [N/A], [N/A], 237 MiB, 81920 MiB, 114.15 W
2026/08/03 07:49:54.994, [N/A], [N/A], 203 MiB, 81920 MiB, 118.25 W
2026/08/03 07:49:54.996, [N/A], [N/A], 203 MiB, 81920 MiB, 103.10 W
2026/08/03 07:49:54.999, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 07:49:55.004, 0 %, 0 %, 4 MiB, 81920 MiB, 47.47 W
2026/08/03 07:50:25.004, [N/A], [N/A], 237 MiB, 81920 MiB, 111.48 W
2026/08/03 07:50:25.038, [N/A], [N/A], 237 MiB, 81920 MiB, 114.06 W
2026/08/03 07:50:25.041, [N/A], [N/A], 203 MiB, 81920 MiB, 116.57 W
2026/08/03 07:50:25.043, [N/A], [N/A], 203 MiB, 81920 MiB, 103.00 W
2026/08/03 07:50:25.046, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 07:50:25.048, 0 %, 0 %, 4 MiB, 81920 MiB, 47.37 W
2026/08/03 07:50:55.049, [N/A], [N/A], 237 MiB, 81920 MiB, 110.90 W
2026/08/03 07:50:55.052, [N/A], [N/A], 237 MiB, 81920 MiB, 113.50 W
2026/08/03 07:50:55.054, [N/A], [N/A], 203 MiB, 81920 MiB, 115.92 W
2026/08/03 07:50:55.056, [N/A], [N/A], 203 MiB, 81920 MiB, 102.71 W
2026/08/03 07:50:55.058, [N/A], [N/A], 203 MiB, 81920 MiB, 111.24 W
2026/08/03 07:50:55.061, 0 %, 0 %, 4 MiB, 81920 MiB, 47.26 W
2026/08/03 07:51:25.062, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 07:51:25.064, [N/A], [N/A], 237 MiB, 81920 MiB, 112.22 W
2026/08/03 07:51:25.066, [N/A], [N/A], 203 MiB, 81920 MiB, 114.53 W
2026/08/03 07:51:25.069, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 07:51:25.071, [N/A], [N/A], 203 MiB, 81920 MiB, 110.06 W
2026/08/03 07:51:25.073, 0 %, 0 %, 4 MiB, 81920 MiB, 47.58 W
2026/08/03 07:51:55.074, [N/A], [N/A], 237 MiB, 81920 MiB, 109.12 W
2026/08/03 07:51:55.076, [N/A], [N/A], 237 MiB, 81920 MiB, 111.34 W
2026/08/03 07:51:55.079, [N/A], [N/A], 203 MiB, 81920 MiB, 113.55 W
2026/08/03 07:51:55.081, [N/A], [N/A], 203 MiB, 81920 MiB, 101.34 W
2026/08/03 07:51:55.083, [N/A], [N/A], 203 MiB, 81920 MiB, 109.18 W
2026/08/03 07:51:55.085, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
2026/08/03 07:52:25.086, [N/A], [N/A], 237 MiB, 81920 MiB, 108.69 W
2026/08/03 07:52:25.122, [N/A], [N/A], 237 MiB, 81920 MiB, 111.14 W
2026/08/03 07:52:25.125, [N/A], [N/A], 203 MiB, 81920 MiB, 114.51 W
