timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 10:24:53.554, [N/A], [N/A], 237 MiB, 81920 MiB, 111.19 W
2026/08/03 10:24:53.565, [N/A], [N/A], 237 MiB, 81920 MiB, 113.46 W
2026/08/03 10:24:53.570, [N/A], [N/A], 203 MiB, 81920 MiB, 116.22 W
2026/08/03 10:24:53.573, [N/A], [N/A], 203 MiB, 81920 MiB, 102.62 W
2026/08/03 10:24:53.577, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 10:24:53.580, 0 %, 0 %, 0 MiB, 81920 MiB, 57.47 W
2026/08/03 10:25:23.583, [N/A], [N/A], 237 MiB, 81920 MiB, 110.49 W
2026/08/03 10:25:23.617, [N/A], [N/A], 237 MiB, 81920 MiB, 112.78 W
2026/08/03 10:25:23.653, [N/A], [N/A], 203 MiB, 81920 MiB, 115.39 W
2026/08/03 10:25:23.663, [N/A], [N/A], 203 MiB, 81920 MiB, 102.22 W
2026/08/03 10:25:23.665, [N/A], [N/A], 203 MiB, 81920 MiB, 111.34 W
2026/08/03 10:25:23.667, 0 %, 0 %, 4 MiB, 81920 MiB, 57.87 W
2026/08/03 10:25:53.668, [N/A], [N/A], 237 MiB, 81920 MiB, 109.80 W
2026/08/03 10:25:53.702, [N/A], [N/A], 237 MiB, 81920 MiB, 111.93 W
2026/08/03 10:25:53.722, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 10:25:53.724, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 10:25:53.726, [N/A], [N/A], 203 MiB, 81920 MiB, 110.36 W
2026/08/03 10:25:53.728, 0 %, 0 %, 4 MiB, 81920 MiB, 57.28 W
2026/08/03 10:26:23.729, [N/A], [N/A], 237 MiB, 81920 MiB, 109.80 W
2026/08/03 10:26:23.763, [N/A], [N/A], 237 MiB, 81920 MiB, 111.99 W
2026/08/03 10:26:23.797, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 10:26:23.801, [N/A], [N/A], 203 MiB, 81920 MiB, 101.73 W
2026/08/03 10:26:23.804, [N/A], [N/A], 203 MiB, 81920 MiB, 110.55 W
2026/08/03 10:26:23.806, 0 %, 0 %, 4 MiB, 81920 MiB, 57.67 W
2026/08/03 10:26:53.807, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 10:26:53.841, [N/A], [N/A], 237 MiB, 81920 MiB, 112.32 W
2026/08/03 10:26:53.860, [N/A], [N/A], 203 MiB, 81920 MiB, 114.64 W
2026/08/03 10:26:53.862, [N/A], [N/A], 203 MiB, 81920 MiB, 101.76 W
2026/08/03 10:26:53.864, [N/A], [N/A], 203 MiB, 81920 MiB, 110.56 W
2026/08/03 10:26:53.866, 0 %, 0 %, 4 MiB, 81920 MiB, 57.87 W
2026/08/03 10:27:23.867, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 10:27:23.901, [N/A], [N/A], 237 MiB, 81920 MiB, 112.42 W
2026/08/03 10:27:23.920, [N/A], [N/A], 203 MiB, 81920 MiB, 114.53 W
2026/08/03 10:27:23.922, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 10:27:23.924, [N/A], [N/A], 203 MiB, 81920 MiB, 110.75 W
2026/08/03 10:27:23.926, 0 %, 0 %, 4 MiB, 81920 MiB, 57.38 W
2026/08/03 10:27:53.926, [N/A], [N/A], 237 MiB, 81920 MiB, 110.20 W
2026/08/03 10:27:53.960, [N/A], [N/A], 237 MiB, 81920 MiB, 112.48 W
2026/08/03 10:27:53.978, [N/A], [N/A], 203 MiB, 81920 MiB, 114.84 W
