JobIDRaw|JobName|State|ExitCode|Elapsed|MaxRSS|AllocTRES
158988|p1qv3b0|COMPLETED|0:0|00:49:56||billing=8,cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158988.batch|batch|COMPLETED|0:0|00:49:56|13624880K|cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158989|p1qv3b1|COMPLETED|0:0|00:50:07||billing=8,cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158989.batch|batch|COMPLETED|0:0|00:50:07|12962084K|cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158990|p1qv3b2|COMPLETED|0:0|00:49:04||billing=8,cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158990.batch|batch|COMPLETED|0:0|00:49:04|12832164K|cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=96G,node=1
158993|p1qv3join|COMPLETED|0:0|00:00:11||billing=8,cpu=8,mem=64G,node=1
158993.batch|batch|COMPLETED|0:0|00:00:11|270964K|cpu=8,mem=64G,node=1
158994|p1qv3verify|FAILED|1:0|00:00:06||billing=4,cpu=4,mem=32G,node=1
158994.batch|batch|FAILED|1:0|00:00:06|20320K|cpu=4,mem=32G,node=1
159238|p1qv3vfix1|COMPLETED|0:0|00:00:08||billing=4,cpu=4,mem=32G,node=1
159238.batch|batch|COMPLETED|0:0|00:00:08|21568K|cpu=4,mem=32G,node=1
