timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 20:03:16.255, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.19 W
2026/08/03 20:03:16.259, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.57 W
2026/08/03 20:03:16.263, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.09 W
2026/08/03 20:03:16.268, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.11 W
2026/08/03 20:03:16.271, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:16.275, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 0 MiB, 81920 MiB, 57.38 W
2026/08/03 20:03:46.278, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 20:03:46.281, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.22 W
2026/08/03 20:03:46.283, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.63 W
2026/08/03 20:03:46.285, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.02 W
2026/08/03 20:03:46.287, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:46.289, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.28 W
2026/08/03 20:04:16.290, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.51 W
2026/08/03 20:04:16.294, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 111.82 W
2026/08/03 20:04:16.299, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.05 W
2026/08/03 20:04:16.304, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.72 W
2026/08/03 20:04:16.306, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.36 W
2026/08/03 20:04:16.308, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.08 W
2026/08/03 20:04:46.309, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 20:04:46.354, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.03 W
2026/08/03 20:04:46.359, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.43 W
2026/08/03 20:04:46.363, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:04:46.367, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:04:46.370, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.28 W
2026/08/03 20:05:16.371, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 20:05:16.442, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.32 W
2026/08/03 20:05:16.444, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.74 W
2026/08/03 20:05:16.446, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 20:05:16.448, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.95 W
2026/08/03 20:05:16.450, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.67 W
