timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 20:03:16.208, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.19 W
2026/08/03 20:03:16.219, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.57 W
2026/08/03 20:03:16.231, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.09 W
2026/08/03 20:03:16.238, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.11 W
2026/08/03 20:03:16.244, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:16.248, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 0 MiB, 81920 MiB, 47.37 W
2026/08/03 20:03:46.252, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 20:03:46.257, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.22 W
2026/08/03 20:03:46.259, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.63 W
2026/08/03 20:03:46.261, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.02 W
2026/08/03 20:03:46.263, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.15 W
2026/08/03 20:03:46.277, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 47.48 W
