timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 22:57:11.529, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 97.39 W
2026/08/03 22:57:11.547, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 94.58 W
2026/08/03 22:57:11.551, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 91.80 W
2026/08/03 22:57:11.554, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 93.61 W
2026/08/03 22:57:11.558, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 93.27 W
2026/08/03 22:57:11.562, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 0 MiB, 81920 MiB, 53.54 W
2026/08/03 22:57:41.565, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 97.76 W
2026/08/03 22:57:41.567, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 95.95 W
2026/08/03 22:57:41.569, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 93.25 W
2026/08/03 22:57:41.571, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 94.70 W
2026/08/03 22:57:41.573, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 94.65 W
2026/08/03 22:57:41.575, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 52.34 W
2026/08/03 22:58:11.576, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 96.46 W
2026/08/03 22:58:11.579, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 96.93 W
2026/08/03 22:58:11.587, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 94.45 W
2026/08/03 22:58:11.589, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 92.32 W
2026/08/03 22:58:11.591, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 95.92 W
2026/08/03 22:58:11.593, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 50.96 W
