timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 21:53:40.543, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.79 W
2026/08/03 21:53:40.554, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 113.01 W
2026/08/03 21:53:40.558, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.92 W
2026/08/03 21:53:40.564, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.42 W
2026/08/03 21:53:40.568, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 21:53:40.571, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 0 MiB, 81920 MiB, 57.38 W
2026/08/03 21:54:10.574, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.59 W
2026/08/03 21:54:10.599, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 113.07 W
2026/08/03 21:54:10.601, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.71 W
2026/08/03 21:54:10.603, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.32 W
2026/08/03 21:54:10.605, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 21:54:10.607, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.38 W
2026/08/03 21:54:40.608, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 109.90 W
2026/08/03 21:54:40.642, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.19 W
2026/08/03 21:54:40.672, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.71 W
2026/08/03 21:54:40.674, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 21:54:40.676, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.98 W
2026/08/03 21:54:40.678, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.27 W
2026/08/03 21:55:10.679, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 21:55:10.713, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.48 W
2026/08/03 21:55:10.735, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 21:55:10.737, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.01 W
2026/08/03 21:55:10.740, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.08 W
2026/08/03 21:55:10.742, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.84 W
2026/08/03 21:55:40.743, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.19 W
2026/08/03 21:55:40.777, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.57 W
2026/08/03 21:55:40.781, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.00 W
2026/08/03 21:55:40.783, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.01 W
2026/08/03 21:55:40.785, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.08 W
2026/08/03 21:55:40.787, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.35 W
2026/08/03 21:56:10.788, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.30 W
2026/08/03 21:56:10.819, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.78 W
2026/08/03 21:56:10.821, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.29 W
2026/08/03 21:56:10.823, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.22 W
2026/08/03 21:56:10.826, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.28 W
2026/08/03 21:56:10.828, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.28 W
2026/08/03 21:56:40.829, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 21:56:40.865, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.67 W
2026/08/03 21:56:40.883, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.13 W
2026/08/03 21:56:40.886, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.13 W
2026/08/03 21:56:40.888, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.25 W
2026/08/03 21:56:40.891, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.38 W
2026/08/03 21:57:10.892, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.30 W
2026/08/03 21:57:10.895, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.72 W
2026/08/03 21:57:10.897, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.32 W
2026/08/03 21:57:10.899, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.23 W
2026/08/03 21:57:10.902, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.34 W
2026/08/03 21:57:10.904, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.28 W
2026/08/03 21:57:40.905, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.40 W
2026/08/03 21:57:40.907, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.98 W
2026/08/03 21:57:40.909, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.42 W
2026/08/03 21:57:40.911, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.22 W
2026/08/03 21:57:40.913, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.45 W
2026/08/03 21:57:40.915, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.47 W
2026/08/03 21:58:10.916, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.30 W
2026/08/03 21:58:10.933, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.57 W
2026/08/03 21:58:10.938, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.29 W
2026/08/03 21:58:10.947, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.23 W
2026/08/03 21:58:10.954, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.45 W
2026/08/03 21:58:10.957, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 57.38 W
2026/08/03 21:58:40.958, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 106.42 W
2026/08/03 21:58:41.038, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 108.30 W
2026/08/03 21:58:41.078, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 109.94 W
2026/08/03 21:58:41.082, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 99.29 W
2026/08/03 21:58:41.088, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 106.91 W
2026/08/03 21:58:41.092, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 56.57 W
2026/08/03 21:59:11.093, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 99.54 W
2026/08/03 21:59:11.097, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 101.76 W
2026/08/03 21:59:11.102, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 101.22 W
2026/08/03 21:59:11.108, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 95.27 W
2026/08/03 21:59:11.112, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 99.96 W
2026/08/03 21:59:11.114, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 0 %, 0 %, 4 MiB, 81920 MiB, 55.89 W
2026/08/03 21:59:41.114, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 97.06 W
2026/08/03 21:59:41.193, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 98.75 W
2026/08/03 21:59:41.213, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 96.60 W
2026/08/03 21:59:41.218, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 93.52 W
2026/08/03 21:59:41.226, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 97.51 W
2026/08/03 21:59:41.231, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 100 %, 94 %, 14663 MiB, 81920 MiB, 296.73 W
2026/08/03 22:00:11.232, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 96.97 W
2026/08/03 22:00:11.237, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 99.29 W
2026/08/03 22:00:11.241, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 96.32 W
2026/08/03 22:00:11.250, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 93.63 W
2026/08/03 22:00:11.255, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 97.12 W
2026/08/03 22:00:11.260, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 100 %, 94 %, 14663 MiB, 81920 MiB, 300.52 W
2026/08/03 22:00:41.261, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 96.41 W
2026/08/03 22:00:41.328, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 98.59 W
2026/08/03 22:00:41.332, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 95.89 W
2026/08/03 22:00:41.336, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 93.43 W
2026/08/03 22:00:41.341, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 96.93 W
2026/08/03 22:00:41.345, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 100 %, 94 %, 14663 MiB, 81920 MiB, 303.86 W
2026/08/03 22:01:11.346, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 96.90 W
2026/08/03 22:01:11.348, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 96.53 W
2026/08/03 22:01:11.393, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 94.62 W
2026/08/03 22:01:11.397, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 91.75 W
2026/08/03 22:01:11.401, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 96.13 W
2026/08/03 22:01:11.403, 5, GPU-c8208803-a2a5-29e1-325e-891ca9c71b16, 100 %, 93 %, 14663 MiB, 81920 MiB, 294.42 W
