timestamp, index, uuid, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 21:53:40.485, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.69 W
2026/08/03 21:53:40.489, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 113.11 W
2026/08/03 21:53:40.493, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.88 W
2026/08/03 21:53:40.496, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.42 W
2026/08/03 21:53:40.500, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.84 W
2026/08/03 21:53:40.504, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 0 MiB, 81920 MiB, 47.67 W
2026/08/03 21:54:10.509, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.59 W
2026/08/03 21:54:10.526, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 113.07 W
2026/08/03 21:54:10.528, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 115.68 W
2026/08/03 21:54:10.530, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.32 W
2026/08/03 21:54:10.533, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.74 W
2026/08/03 21:54:10.535, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 0 %, 0 %, 4 MiB, 81920 MiB, 47.27 W
2026/08/03 21:54:40.535, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.00 W
2026/08/03 21:54:40.538, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.28 W
2026/08/03 21:54:40.542, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 114.80 W
2026/08/03 21:54:40.545, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 101.92 W
2026/08/03 21:54:40.549, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 110.98 W
2026/08/03 21:54:40.551, 5, GPU-69f64220-24d2-5380-9b68-d3ec410237c0, 19 %, 1 %, 595 MiB, 81920 MiB, 109.97 W
2026/08/03 21:55:10.552, 0, GPU-59139ac1-ee67-a3cc-2157-11d15aa76d58, [N/A], [N/A], 237 MiB, 81920 MiB, 110.09 W
2026/08/03 21:55:10.616, 1, GPU-40edd858-d869-a3c8-6d68-62e85f3e315b, [N/A], [N/A], 237 MiB, 81920 MiB, 112.57 W
2026/08/03 21:55:10.640, 2, GPU-fe770418-3e4e-3198-fd1c-b43c11470fef, [N/A], [N/A], 203 MiB, 81920 MiB, 116.48 W
2026/08/03 21:55:10.642, 3, GPU-db2bd0fd-027a-b679-5d80-da7106ab041d, [N/A], [N/A], 203 MiB, 81920 MiB, 102.01 W
2026/08/03 21:55:10.644, 4, GPU-d79e9d76-a681-1a07-4d4a-5ea114648c2d, [N/A], [N/A], 203 MiB, 81920 MiB, 111.11 W
