timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 06:02:22.973, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 06:02:22.992, [N/A], [N/A], 237 MiB, 81920 MiB, 113.86 W
2026/08/03 06:02:22.995, [N/A], [N/A], 203 MiB, 81920 MiB, 116.38 W
2026/08/03 06:02:22.999, [N/A], [N/A], 203 MiB, 81920 MiB, 103.10 W
2026/08/03 06:02:23.018, [N/A], [N/A], 203 MiB, 81920 MiB, 112.23 W
2026/08/03 06:02:23.022, 0 %, 0 %, 0 MiB, 81920 MiB, 48.06 W
2026/08/03 06:02:53.024, [N/A], [N/A], 237 MiB, 81920 MiB, 111.38 W
2026/08/03 06:02:53.027, [N/A], [N/A], 237 MiB, 81920 MiB, 113.86 W
2026/08/03 06:02:53.030, [N/A], [N/A], 203 MiB, 81920 MiB, 116.48 W
2026/08/03 06:02:53.033, [N/A], [N/A], 203 MiB, 81920 MiB, 103.10 W
2026/08/03 06:02:53.036, [N/A], [N/A], 203 MiB, 81920 MiB, 112.13 W
2026/08/03 06:02:53.038, 0 %, 0 %, 4 MiB, 81920 MiB, 48.06 W
